# HIP - Hipparcos identifier
# TYC - Tycho-2 identifier
# source_id - Gaia DR1 identifier
# c - the c-value (chi-squared) of the star
# p - the p-value of the star corresponding to the c-value
# RV - radial velocity (in km/s)
# e_RV - radial velocity error (which have been inflated due to the zero-point differences)
# s_RV - the source of the radial velocity measurement
# Keys for radial velocity literature sources given in this
# column are the following: 1 - XHIP, 2 - RAVE, 3 - APOGEE,
# 4 - GALAH, 5 - Perryman et al. (1998), 6 - HADES, 7 - White et
# al. (2007), 8 - Mermilliod et al. (2009), 9 - Tabernero et al.
# (2012), 10 - Griffin (2012), 11 - Griffin (2013) and 12 -
# Debernardi et al. (2000).
# plx_mod - the kinematically modelled parallax for this star (if missing then the star was rejected during kinematic modelling)
# e_plx_mod - standard deviation of the modelled parallax


 HIP     TYC           source_id             c         p        RV       e_RV    s_RV   plx_mod   e_plx_mod
  ""      1804-812-1    67351752990540544     0.4332    0.9333   35.28    1.092   8      22.658    0.158
  ""      1266-1286-1   3312644881687518976   0.232     0.9723   40.73    1.078   8      21.223    0.161
  ""      1265-433-1    3312921374502681984   0.4752    0.9243   40.04    1.085   8      23.496    0.207
  ""      677-227-1     3306303998130681728   6.6793    0.0829   41.212   1.005   10     ""        ""
  ""      1266-1175-1   3309956850635519488   0.2382    0.9712   40.8     1.051   8      20.323    0.158
  ""      1269-57-1     3314484089763294592   1.4393    0.6963   38.135   3.941   8      20.643    0.143
  ""      1266-149-1    3313259165090609280   0.5251    0.9134   39.41    1.334   8      20.578    0.2
  ""      1266-944-1    3312602344331419136   0.8486    0.8378   40.16    1.091   8      19.099    0.161
  ""      1265-569-1    3313630078465745280   1.0615    0.7864   34.96    3.419   8      17.596    0.142
  ""      680-594-1     3310876798270577792   3.9617    0.2656   40.532   1.002   10     ""        ""
  ""      697-59-1      3391728561185367168   0.4726    0.9249   42.738   1.119   2      23.347    0.21
  ""      1271-879-1    3406216379227986048   3.8488    0.2783   43.56    1.673   8      ""        ""
  ""      1280-58-1     3405988677241799040   0.1327    0.9876   41.31    1.113   8      20.579    0.167
  ""      1280-681-1    3405127244241184256   0.2718    0.9652   41.866   1.488   2      16.679    0.175
  ""      1274-1204-1   3410640882737635200   0.1193    0.9894   39.33    1.053   8      19.279    0.204
  18018   ""            66482348530642176     0.0164    0.9994   34.42    1.007   5      24.6      0.165
  19862   ""            3312197930211158784   0.0777    0.9944   38.049   1.014   5      22.346    0.179
  19834   ""            3311492799660064384   0.0672    0.9955   37.867   1.063   5      21.135    0.152
  21138   ""            3312564033223630720   0.1643    0.9831   40.367   1.022   5      22.017    0.174
  18327   1253-868-1    43538289638888064     0.4857    0.922    36.027   1.008   5      24.449    0.156
  20890   1273-711-1    48061405596787712     0.1923    0.9788   39.22    1.003   5      21.082    0.176
  20130   1272-325-1    49005576847854080     0.2806    0.9636   38.89    1.002   5      21.617    0.168
  19504   1255-312-1    46975431705914112     0.1056    0.9912   37.1     1.044   5      21.805    0.176
  19148   1250-686-1    45367052352895360     0.454     0.9289   37.607   1.014   5      21.069    0.15
  20146   1268-352-1    47345005052090880     0.1627    0.9834   38.146   1.003   5      21.399    0.164
  20350   1268-295-1    47541096078933376     1.0259    0.795    41.2     2.4     5      21.405    0.205
  13976   641-305-1     8479090076267264      0.7785    0.8546   28.75    1.016   5      42.528    0.197
  15563   649-5-1       11037722353344384     0.0946    0.9925   30.85    1.033   5      31.693    0.167
  19207   1250-4-1      45159897490770816     0.465     0.9265   38.055   1.026   5      22.119    0.165
  19261   1250-74-1     45142202225515008     0.2625    0.9669   38.146   1.033   5      22.749    0.202
