,id,hip,ra,dec,m/r,e_m/r,gr,c,gr+c,drv_m02,drv_m02_gr,drv_m02_gr+c,drv_g17,drv_g17_gr,drv_g17_gr+c,sptype,vmag,(b-v),e_(b-v),rv_p98,erv_p98,rv_m02,erv_m02,rv_g17,erv_g17,rv_harps,erv_harps,fwhm,s/n,flag,|r-rc|,e|r-rc|,v_alpha,ev_alpha,v_delta,ev_delta,cr,rv_harps_gr+c,rv_g17_cr,drv_g17_gr+c+cr,gaia_source_id,gaia_ra,gaia_dec,radial_velocity,radial_velocity_error,radial_velocity_source,parallax_gaia,parallax_gaia_error,pmra_gaia,pmdec_gaia,pmra_gaia_error,pmdec_gaia_error,pmra_pmdec_gaia,pmra_hg,pmdec_hg,pmra_hg_error,pmdec_hg_error,pmra_pmdec_hg,pmra_hip,pmdec_hip,pmra_hip_error,pmdec_hip_error,pmra_pmdec_hip,epoch_ra_gaia,epoch_dec_gaia,epoch_ra_hip,epoch_dec_hip,crosscal_pmra_hip,crosscal_pmdec_hip,crosscal_pmra_hg,crosscal_pmdec_hg,nonlinear_dpmra,nonlinear_dpmdec
0,2,16529,53.2094,23.692,1.13,0.040999999999999995,716,-340,377,-383,-1100,-760,-255,-972,-632,G5,8.88,0.8440000000000001,0.0,32.72,0.17,32.47,0.59,32.34,0.14,32.0867,0.0007,7.5,116,0,12.08,0.36,32.317,0.354,-7.852,0.086,-216,31.7098,32.13,-416,68001499939741440,53.209436273272864,23.69201652157349,31.68962,0.13477878,b'Gaia_DR2',23.77081,0.055155504,162.18665,-39.49104,0.21125937,0.12249963,-0.14554887,162.22113,-39.467068,0.040795326,0.023798741,0.21743356,161.24895,-40.926918,1.3792812,1.1738803,0.37076506,2015.7359239048074,2015.5573560013668,1991.2527704664462,1991.2602860862467,0.19594221,-0.18792737,0.029039508,-0.01893896,-0.0032257645,5.850104e-05
1,4,18327,58.7777,16.9984,1.135,0.046,720,-318,402,391,-329,-11,523,-197,121,K2,8.99,0.895,0.001,36.79,0.13,36.03,0.59,35.9,0.15,36.4212,0.001,8.5,97,0,8.51,0.43,28.400,0.266,-4.712,0.046,-287,36.0192,35.61,408,43538293935879680,58.77775243428856,16.99837385237217,36.403458,0.17503466,b'Gaia_DR2',24.400011,0.041648142,147.81834,-24.483923,0.17465456,0.08771203,-0.17320372,147.53876,-24.560215,0.045847308,0.027592855,0.18334365,148.42322,-24.716814,1.4910135,1.0688543,0.14415829,2015.470911477936,2015.2686099211046,1991.2879488659278,1991.1898330805584,0.110334404,0.35960546,-0.0165723,-0.046980746,-0.0033062547,0.00014767623
2,5,19098,61.415,17.9378,1.135,0.077,719,-327,392,-341,-1061,-733,-214,-934,-606,K2,9.31,0.89,0.008,37.61,0.05,37.16,0.59,37.03,0.16,36.819,0.0007,8.3,98,0,--,--,--,--,--,--,34,36.4267,37.07,-640,47019347749289216,61.41590006357857,17.93759517735854,36.571644,0.21398315,b'Gaia_DR2',21.831257,0.040940784,128.30138,-27.374945,0.16938612,0.07274927,0.09422317,128.32298,-27.392162,0.045885943,0.032256134,0.024484701,127.22572,-28.433146,1.4794055,1.0770639,-0.0035800878,2015.6839828763027,2015.3256526888472,1991.4355814900382,1991.3567647440027,0.3575539,0.0998595,-0.0027858466,-0.062448133,-0.002607475,0.0002251328
3,6,19148,61.5677,15.698,1.061,0.07,672,-563,109,142,-530,33,269,-404,160,G0,7.85,0.593,0.005,38.04,0.17,37.44,0.59,37.31,0.16,37.5821,0.0009,10.7,131,0,4.28,0.36,26.418,0.293,-4.357,0.050,-87,37.473,37.23,247,45367056650753280,61.56773534424086,15.698036388532133,37.545406,0.15147176,b'Gaia_DR2',21.026073,0.043131996,118.91205,-19.77565,0.15827793,0.08690772,0.12775452,118.91607,-19.694838,0.03926073,0.0294581,0.11191647,118.84081,-19.822676,1.0720472,0.77687144,0.016851513,2015.629080483323,2015.3530848024866,1991.2860013271666,1991.3116085366814,0.21678664,0.27966163,-0.013710408,-0.058199383,-0.0023760656,0.00014946354
4,8,19781,63.6073,14.625,1.097,0.061,696,-449,246,-249,-945,-495,-121,-816,-367,G5V,8.45,0.693,0.011000000000000001,39.24,0.06,38.43,0.6,38.3,0.16,38.1808,0.0013,9.3,97,0,3.79,0.40,24.700,0.331,-3.758,0.052,-28,37.9347,38.27,-339,3311514210073309056,63.60735993622832,14.624972573975004,38.04333,0.18119963,b'Gaia_DR2',20.331196,0.055454753,107.813934,-14.015484,0.20332201,0.13919358,0.12535103,107.12153,-16.411987,0.04395576,0.03177002,0.09135263,106.39357,-19.467855,1.3100057,0.97064036,0.09764013,2015.6380542203983,2015.5793264338831,1991.1356398174585,1991.1735261498056,0.24875891,0.20599967,-0.0064007416,-0.06819606,-0.0021034495,0.00013834494
5,9,19796,63.6436,10.7014,1.028,0.052000000000000005,651,-573,79,-368,-1020,-447,-236,-888,-315,F8V,7.11,0.514,0.008,38.5,0.15,38.65,0.6,38.52,0.16,38.2816,0.0042,22.6,130,0,5.90,0.44,25.552,0.275,-1.179,0.016,-152,38.2029,38.37,-163,3300934223858467072,63.643613587282886,10.701362700987037,38.665264,0.2951114,b'Gaia_DR2',22.293633,0.04435088,119.70806,-5.77462,0.14868869,0.14132918,0.3676057,119.515915,-5.6125684,0.026853219,0.022903295,0.24634805,118.97622,-6.5243793,0.8872955,0.81654876,0.40608615,2015.570554766755,2015.5588321878643,1991.2554056005376,1991.283666010496,-0.23782042,0.14612612,-0.03074092,-0.04928956,-0.0025698615,-3.9875882e-05
6,10,20146,64.7839,17.5246,1.1059999999999999,0.048,701,-451,250,-574,-1275,-823,-447,-1147,-696,G8V,8.47,0.721,0.016,38.8,0.08,38.66,0.6,38.53,0.16,38.0862,0.001,9.3,124,0,1.74,0.20,25.318,0.313,-6.221,0.078,-77,37.8365,38.46,-619,47345009348203392,64.78388367320153,17.524633354332344,37.847355,0.29086667,b'Gaia_DR2',21.294811,0.058743026,113.00135,-28.053265,0.21577431,0.14927226,0.038520847,113.09266,-27.907724,0.036570773,0.028003523,0.103576034,113.282,-29.413834,1.2229015,0.93367547,0.09487405,2015.6980881161667,2015.6301881635593,1991.208749858331,1991.0498899112974,-0.0024396898,0.14899586,0.014681226,-0.07831217,-0.0023414558,0.00032323407
7,11,20205,64.9481,15.6277,0.248,0.015,155,-566,-412,-362,-516,50,-241,-396,170,G8III,3.65,0.981,0.012,39.28,0.11,38.91,0.6,38.79,0.16,38.5485,0.0007,8.5,116,0,--,--,--,--,--,--,-78,38.9601,38.71,248,3312052249216467328,64.9488724964542,15.627540664408937,38.56,0.09,b'XHIP',22.62342,0.46139997,113.157974,-25.269867,1.6720622,1.312468,-0.13961545,115.942406,-23.667805,0.034251682,0.028886892,0.098160796,116.096436,-22.94187,0.7451721,0.6263713,0.4956742,2015.604860431551,2015.5788189165469,1991.185055599377,1991.285515556057,0.11143482,0.3068862,0.0040088543,-0.07302874,-0.0025711274,0.00028995003
8,12,20480,65.8435,21.3789,1.115,0.05,707,-389,318,171,-535,-146,289,-418,-29,G9V,8.84,0.758,0.003,39.24,0.24,38.56,0.6,38.44,0.16,38.7314,0.0009,8.2,105,0,4.77,0.56,23.418,0.293,-8.940,0.113,9,38.4138,38.45,-37,145325548516513280,65.84350578649652,21.378932643206007,38.656326,0.24944207,b'Gaia_DR2',19.88164,0.04619765,99.539314,-37.977623,0.20949239,0.12627819,-0.27029,99.38635,-38.014133,0.047986295,0.03028308,0.3211101,99.157196,-38.42961,1.3692983,1.054294,0.35672155,2015.6577044105481,2015.6924176205555,1991.4751837181013,1991.1946271717086,-0.27197942,0.13004644,0.018589795,-0.07417913,-0.0019751994,0.0005009816
9,13,20492,65.8852,14.6704,1.1320000000000001,0.064,717,-340,378,128,-590,-250,252,-465,-126,K1V,9.11,0.855,0.018000000000000002,40.29,0.06,39.38,0.6,39.26,0.16,39.5077,0.001,8.4,100,0,2.11,0.40,24.018,0.274,-3.949,0.051,-109,39.1299,39.15,-16,3311148828615843328,65.88521228172581,14.67040052281586,39.317276,0.26096046,b'Gaia_DR2',21.465626,0.06288036,109.35191,-17.980701,0.31709743,0.14041667,-0.31052905,109.27112,-18.041344,0.06047494,0.04465152,0.1370009,106.59089,-17.770466,1.9461173,1.4335331,0.30428433,2015.6290321061126,2015.5810679638823,1991.236115764239,1991.231156669223,0.22057945,0.65614474,0.0007476021,-0.07079861,-0.0023309533,0.00019317401
