  ID      HIP       RA       Dec       M/R      e_M/R      GR      C    GR+C   DRV_M02  DRV_M02_GR   DRV_M02_GR+C   DRV_G17  DRV_G17_GR   DRV_G17_GR+C       SpType    Vmag    (B-V)   e_(B-V)  RV_P98   eRV_P98   RV_M02  eRV_M02  RV_G17  eRV_G17  RV_HARPS   eRV_HARPS    FWHM     S/N   Flag      |r-rc|  e|r-rc|  V_alpha eV_alpha  V_delta  eV_delta       CR      RV_HARPS_GR+C   RV_G17_CR   DRV_G17_GR+C+CR
   2     16529   53.2094   23.6920    1.130     0.041     716    -340    377    -383       -1100         -760        -255       -972          -632             G5      8.88    0.844    0.000    32.72     0.17    32.47    0.59    32.34    0.14     32.0867     0.0007      7.5     116     0        12.08     0.36   32.317    0.354   -7.852    0.086       -216        31.7098        32.13          -416
   4     18327   58.7777   16.9984    1.135     0.046     720    -318    402     391       -329           -11         523       -197           121             K2      8.99    0.895    0.001    36.79     0.13    36.03    0.59    35.90    0.15     36.4212     0.0010      8.5     97      0         8.51     0.43   28.400    0.266   -4.712    0.046       -287        36.0192        35.61           408
   5     19098   61.4150   17.9378    1.135     0.077     719    -327    392    -341       -1061         -733        -214       -934          -606             K2      9.31    0.890    0.008    37.61     0.05    37.16    0.59    37.03    0.16     36.8190     0.0007      8.3     98      0          --       --      --       --       --        --         34         36.4267        37.07          -640
   6     19148   61.5677   15.6980    1.061     0.070     672    -563    109     142       -530           33          269       -404           160             G0      7.85    0.593    0.005    38.04     0.17    37.44    0.59    37.31    0.16     37.5821     0.0009     10.7     131     0         4.28     0.36   26.418    0.293   -4.357    0.050        -87        37.4730        37.23           247
   8     19781   63.6073   14.6250    1.097     0.061     696    -449    246    -249       -945          -495        -121       -816          -367            G5V      8.45    0.693    0.011    39.24     0.06    38.43     0.6    38.30    0.16     38.1808     0.0013      9.3     97      0         3.79     0.40   24.700    0.331   -3.758    0.052        -28        37.9347        38.27          -339
   9     19796   63.6436   10.7014    1.028     0.052     651    -573    79     -368       -1020         -447        -236       -888          -315            F8V      7.11    0.514    0.008    38.50     0.15    38.65     0.6    38.52    0.16     38.2816     0.0042     22.6     130     0         5.90     0.44   25.552    0.275   -1.179    0.016       -152        38.2029        38.37          -163
  10     20146   64.7839   17.5246    1.106     0.048     701    -451    250    -574       -1275         -823        -447       -1147         -696            G8V      8.47    0.721    0.016    38.80     0.08    38.66     0.6    38.53    0.16     38.0862     0.0010      9.3     124     0         1.74     0.20   25.318    0.313   -6.221    0.078        -77        37.8365        38.46          -619
  11     20205   64.9481   15.6277    0.248     0.015     155    -566   -412    -362       -516           50         -241       -396           170           G8III     3.65    0.981    0.012    39.28     0.11    38.91     0.6    38.79    0.16     38.5485     0.0007      8.5     116     0          --       --      --       --       --        --         -78        38.9601        38.71           248
  12     20480   65.8435   21.3789    1.115     0.050     707    -389    318     171       -535          -146         289       -418           -29            G9V      8.84    0.758    0.003    39.24     0.24    38.56     0.6    38.44    0.16     38.7314     0.0009      8.2     105     0         4.77     0.56   23.418    0.293   -8.940    0.113         9         38.4138        38.45           -37
  13     20492   65.8852   14.6704    1.132     0.064     717    -340    378     128       -590          -250         252       -465          -126            K1V      9.11    0.855    0.018    40.29     0.06    39.38     0.6    39.26    0.16     39.5077     0.0010      8.4     100     0         2.11     0.40   24.018    0.274   -3.949    0.051       -109        39.1299        39.15           -16
  14     20557   66.0613   21.7361    1.030     0.041     652    -602    51     -316       -969          -367        -196       -849          -247            F8V      7.13    0.518    0.014    38.94     0.13    38.59     0.6    38.47    0.16     38.2739     0.0038     17.2     102     0         5.41     0.49   23.819    0.328   -9.294    0.128       -230        38.2231        38.24           -17
  16     20826   66.9424   11.7364    1.047     0.039     663    -615    48     -296       -960          -345        -171       -834          -219             F8      7.49    0.560    0.007    40.22     0.21    39.99     0.6    39.86    0.17     39.6935     0.0020     13.6     127     0         4.34     0.30   24.105    0.274   -2.733    0.032       -116        39.6453        39.75          -103
  17     20850   67.0189   13.8679    1.130     0.056     716    -345    371     404       -312           33          523       -193           152            K0V      9.02    0.839    0.007    40.94     0.08    39.89     0.6    39.77    0.16     40.2936     0.0009      8.0     98      0         2.86     0.23   23.240    0.265   -4.312    0.052        -56        39.9226        39.71           208
  18     20889   67.1539   19.1805    0.220     0.013     137    -562   -425    -955       -1092         -530        -838       -975          -413           K0III     3.53    1.014    0.006    39.37     0.06    39.39     0.6    39.27    0.16     38.4354     0.0004      9.0     199     0          --       --      --       --       --        --         -68        38.8603        39.21          -345
  19     20949   67.3786   26.6713    1.117     0.051     708    -392    315     577       -131           262         689        -18           374             G5      9.19    0.766    0.002    39.02     0.17    38.12    0.59    38.01    0.15     38.6972     0.0011      7.5     76      0        13.27     1.46   22.297    0.514   -13.055   0.301        252        38.3817        38.26           122
  20     20978   67.4910   16.6727    1.133     0.038     718    -313    406     461       -257           55          584       -134           179            K1V      9.08    0.865    0.013    40.97     0.06    39.83     0.6    39.71    0.16     40.2908     0.0017      8.6     59      0         2.13     0.59   22.631    0.258   -5.991    0.070       -170        39.8852        39.54           349
  21     21099   67.8159   20.1330    1.109     0.064     703    -413    290     321       -382           30          442       -261           151            G8V      8.59    0.734    0.014    40.62     0.08    39.51     0.6    39.39    0.16     39.8309     0.0009      8.4     109     0         2.70     0.19   23.244    0.252   -8.575    0.094       -120        39.5405        39.27           271
  22     21741   70.0247   23.3044    1.125     0.059     713    -391    322     486       -227           164         599       -115           277            K0V      9.40    0.811    0.000    41.34     0.16    39.75     0.6    39.64    0.16     40.2362     0.0013      8.9     84      0        13.91     1.04   21.206    0.286   -10.789   0.146        345        39.9141        39.98           -69
