designation,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,in_dr2,in_meingast,in_roser,mean_pmem,fit_group
Gaia DR2 49520255665123328,64.874609,21.753716,20.904768,109.076195,-38.851480,,2.547,12.861,True,,True,0.9970,cl
Gaia DR2 49729231594420096,60.203783,18.193881,21.774901,130.552061,-27.555882,,0.445,5.790,True,,True,0.9965,cl
Gaia DR2 51383893515451392,59.806965,20.428049,22.734841,135.255280,-36.764306,36.840,2.371,12.570,True,True,True,0.9987,cl
Gaia DR2 145373377272257664,66.061268,21.736049,23.107320,117.530976,-45.805935,38.337,0.680,6.990,True,True,True,0.9996,cl
Gaia DR2 145391484855481344,67.003711,21.619722,19.976727,96.614818,-42.261540,,0.368,5.643,True,,True,0.9843,cl
Gaia DR2 145325548516513280,65.843501,21.378935,19.881261,99.539315,-37.977624,38.656,0.919,8.639,True,True,True,0.9990,cl
Gaia DR2 145484629809228544,66.354753,22.199798,22.142920,110.970014,-47.306402,,0.351,5.194,True,,True,0.9961,cl
Gaia DR2 145293181643038336,66.577555,21.470267,20.670014,103.244169,-38.407507,35.697,0.693,7.224,True,,True,0.9967,cl
Gaia DR2 145293181643038208,66.580438,21.468749,20.921577,105.770451,-40.279174,,3.074,15.087,True,,True,0.9976,cl
Gaia DR2 3313778207594395392,66.819817,17.241716,21.743721,107.684737,-31.491815,40.370,2.210,12.144,True,True,True,0.9964,cl
Gaia DR2 3313751441358252160,66.579815,17.050479,21.378477,101.278746,-28.269916,,3.585,16.365,True,,True,0.8840,cl
Gaia DR2 3313842529024545664,65.854915,16.777151,20.434085,107.050930,-26.769562,,0.386,5.564,True,,True,0.9942,cl
Gaia DR2 3313947704182762240,66.093255,17.078840,19.592217,99.753418,-26.880896,38.538,0.600,6.839,True,True,True,0.9990,cl
Gaia DR2 3313759000500605056,66.251440,16.984791,18.282062,91.118654,-24.734592,39.192,1.236,9.968,True,True,True,0.9983,cl
Gaia DR2 3313978112552491136,66.024505,17.443990,21.669712,110.765821,-33.168233,,0.224,4.724,True,,True,0.9835,cl
Gaia DR2 3393284752392701312,74.935056,15.916605,22.398376,85.469734,-29.781427,41.719,0.601,6.627,True,True,True,0.9984,cl
Gaia DR2 147022541634235392,71.132172,23.940876,19.503057,86.242118,-48.781909,,2.905,14.230,True,,True,0.9958,cl
Gaia DR2 147118233505518976,72.972713,24.609885,20.916126,86.445223,-55.102857,,3.362,15.845,True,,True,0.9962,cl
Gaia DR2 147182172683187712,72.304510,24.802612,20.135476,84.681913,-53.132093,,1.306,9.227,True,,True,0.9975,cl
Gaia DR2 144512287869179136,66.971617,20.981341,18.868740,92.166315,-37.104048,,4.037,17.647,True,,,0.9956,cl
Gaia DR2 144377799556207488,68.405419,21.150652,22.832900,108.250664,-46.336968,40.475,1.498,10.199,True,True,True,0.9961,cl
Gaia DR2 3292227607891547264,69.776075,7.870986,20.080787,94.773164,-0.477529,,0.335,5.308,True,,True,0.9887,cl
Gaia DR2 3292367795624174720,70.430010,8.438084,23.663729,101.375653,-1.054746,,3.485,15.502,True,,True,0.9843,cl
Gaia DR2 3292367795624174592,70.429482,8.439251,23.527302,106.401118,-1.831045,,3.042,14.102,True,,True,0.9962,cl
Gaia DR2 3306443434245315200,69.291679,12.105463,19.532960,88.815709,-10.684800,,3.074,14.828,True,,True,0.9939,cl
Gaia DR2 3306634646189021440,68.966108,12.255506,19.745614,91.543398,-13.356662,,3.985,17.518,True,,,0.9979,cl
Gaia DR2 3306588707218380288,67.817447,12.200081,22.037052,106.956379,-13.801505,,2.994,14.404,True,,True,0.9980,cl
Gaia DR2 3306483944376792832,69.539886,12.510773,22.637379,104.911735,-13.488127,,0.172,4.188,True,,True,0.9878,cl
Gaia DR2 3306592418070112384,68.189623,12.066609,20.549995,96.952515,-14.186060,,2.753,13.764,True,,True,0.9968,cl
Gaia DR2 148867315986268672,65.483378,23.418057,23.090043,117.944138,-52.076730,38.738,2.389,12.458,True,True,True,0.9986,cl
Gaia DR2 148792171240741120,65.320639,23.197733,19.899670,103.708978,-45.450866,,3.099,15.250,True,,True,0.9903,cl
Gaia DR2 148946068508277888,64.545405,23.284490,18.515724,93.899766,-38.692942,,1.240,9.160,True,,True,0.9500,cl
Gaia DR2 149005270337201792,63.635207,23.574737,21.828243,119.949556,-48.151222,37.468,0.821,7.883,True,True,True,0.9989,cl
Gaia DR2 53942250914697472,62.151440,23.768425,21.045483,119.628573,-43.269385,36.046,1.092,9.190,True,True,True,0.9989,cl
Gaia DR2 53825771402706304,61.588116,23.424055,23.508905,135.200299,-47.029404,,2.627,13.124,True,,True,0.9973,cl
Gaia DR2 49005581144118784,64.742077,19.906544,21.261970,112.938371,-36.625179,38.490,0.907,8.415,True,True,True,0.9993,cl
Gaia DR2 49124190961270656,65.410243,20.302614,26.746874,136.193348,-46.964734,,3.188,14.774,True,,True,0.9975,cl
Gaia DR2 48977371798954368,64.763478,19.544170,23.204051,123.613494,-34.737934,,2.960,13.977,True,,True,0.9882,cl
Gaia DR2 3287450745264292864,66.405612,8.591356,22.770960,112.212425,0.586396,,3.781,15.970,True,,True,0.9877,cl
Gaia DR2 144833998098820992,69.681299,21.737121,22.876218,105.544517,-48.901722,,3.116,15.141,True,,True,0.9970,cl
Gaia DR2 47319961098840192,64.538057,17.416134,21.875115,113.212070,-27.984503,,3.003,14.729,True,,True,0.9949,cl
Gaia DR2 47019347749289216,61.415893,17.937594,21.830825,128.301370,-27.374945,36.572,1.055,9.030,True,True,True,0.9972,cl
Gaia DR2 47247938791363200,61.586456,19.027352,18.724927,107.635973,-28.134548,,3.109,14.524,True,,True,0.9968,cl
Gaia DR2 47109438983082496,60.721862,18.407180,21.776343,128.167477,-29.880782,,2.994,13.866,True,,True,0.9974,cl
Gaia DR2 47345009348203392,64.783877,17.524634,21.294385,113.001351,-28.053264,37.847,0.886,8.270,True,True,True,0.9989,cl
Gaia DR2 47068207297219584,61.510021,18.250761,25.468134,147.498573,-33.275221,37.263,2.219,11.894,True,True,True,0.9990,cl
Gaia DR2 3293176074109393152,71.905065,10.232968,18.959924,81.304999,-8.064289,,2.693,13.742,True,,True,0.9976,cl
Gaia DR2 3393305093357807744,75.014108,15.914667,23.008326,86.627746,-32.143704,,3.155,14.997,True,,True,0.9976,cl
Gaia DR2 3407257105639932032,75.313240,17.693859,23.241435,85.968883,-39.737407,,3.332,15.544,True,,True,0.9972,cl
Gaia DR2 3407395193133161728,75.230483,18.807226,23.060156,86.163295,-42.952175,,3.540,15.528,True,,True,0.9973,cl
Gaia DR2 66286704180780672,59.727797,25.219608,20.392166,120.574387,-44.757551,,2.429,13.010,True,,True,0.9981,cl
Gaia DR2 3282728853923029376,71.062050,5.732621,21.465016,93.533923,1.534843,,4.667,18.028,True,,,0.9358,cl
Gaia DR2 3294522907134516864,73.099778,10.719383,19.185577,79.145328,-9.190798,41.988,2.045,11.955,True,True,True,0.9986,cl
Gaia DR2 3405909374965722368,72.128055,16.388404,20.753513,86.621583,-30.420241,41.498,1.984,11.649,True,True,True,0.9987,cl
Gaia DR2 3404798597640071296,72.760528,14.971198,24.513081,96.514135,-23.866990,45.780,1.881,10.982,True,,,0.9375,cl
Gaia DR2 3404812685132622592,72.641299,15.083346,21.075046,85.040525,-20.204478,41.141,0.899,7.556,True,True,True,0.9588,cl
Gaia DR2 3405952363294872960,71.386044,16.598141,18.833526,79.542247,-27.988956,,3.231,15.319,True,,True,0.9915,cl
Gaia DR2 3405988677241799040,72.503350,16.411944,20.240856,84.040474,-27.116427,41.299,1.395,10.176,True,True,True,0.9994,cl
Gaia DR2 3406094750050845696,72.402782,17.032944,19.825490,81.406662,-30.289406,,3.055,14.786,True,,True,0.9973,cl
Gaia DR2 3311148828615843328,65.885208,14.670401,21.465177,109.351913,-17.980701,39.317,1.024,8.877,True,True,True,0.9985,cl
Gaia DR2 3311492803955469696,63.793878,14.398376,20.827642,114.712277,-18.344693,37.622,1.716,10.930,True,True,True,0.9971,cl
Gaia DR2 3311179340063437952,66.520062,15.041288,20.895478,101.399125,-22.626075,39.099,1.908,11.467,True,True,True,0.9942,cl
Gaia DR2 3311514210073309056,63.607356,14.624973,20.330806,107.813937,-14.015484,38.043,0.872,8.290,True,True,True,0.9582,cl
Gaia DR2 3311173120950799872,66.460664,15.002468,21.212554,106.640598,-22.826787,,3.030,14.779,True,,True,0.9977,cl
Gaia DR2 3311179340062227200,66.520370,15.040798,20.887250,101.229607,-25.691433,,,14.713,True,,,0.7345,cl
Gaia DR2 3311464182294287104,64.481996,14.546192,19.063232,101.319909,-16.298300,,2.715,13.772,True,,True,0.9979,cl
Gaia DR2 3311426420941869952,64.106499,14.171322,25.135412,134.391141,-20.622037,,2.888,13.935,True,,True,0.9979,cl
Gaia DR2 3311229745799686912,65.756772,15.228124,20.816820,107.569454,-19.538486,,3.079,15.172,True,,True,0.9956,cl
Gaia DR2 3311232425859274368,65.627655,15.220170,18.157901,94.027524,-16.936278,,2.511,13.466,True,,True,0.9965,cl
Gaia DR2 3311120722349948672,65.234097,14.859499,20.568792,109.782553,-21.210554,,3.150,15.158,True,,True,0.9928,cl
Gaia DR2 3406734906335151872,72.707751,18.141040,21.404431,88.756620,-35.443196,,3.586,16.393,True,,True,0.9976,cl
Gaia DR2 3406786445943961088,71.906946,18.258583,20.756083,84.653427,-38.326308,43.582,0.895,8.340,True,,,0.0016,cl
Gaia DR2 146160558879786624,66.333938,23.108487,18.697633,93.304081,-40.440489,38.597,2.030,12.040,True,True,True,0.9993,cl
