,index,source_id,hip,tycho2_id,solution_id,source_id_2,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
0,0.0,6.735175299054054e+16,,b'1804-812-1',1.6353784107819336e+18,6.735175299054054e+16,1633988.0,2015.0,58.171521868568654,0.32152515646126545,25.804222936867426,0.12097983197544765,22.351549481198514,0.25551110951443146,140.70955415711586,1.1163494753621963,-51.80667846000982,0.5513715285223835,-0.18826231,-0.0317355,-0.55061877,0.32685906,-0.15328452,0.53630817,-0.81691545,-0.35268807,0.25162664,-0.69768035,163.0,163.0,161.0,160.0,2.0,3.0,,0.3482581089539045,240.1103295341328,True,3.520356,7.233158,2.6119547e-05,5.0,23.0,True,0.818988,0.87434804,0.8221173,0.6225121,-10.022769,-3.169214,-8.301763,-5.7058425,190.0,1064708.081388607,647.5622392540134,10.456693687644039,b'NOT_AVAILABLE',166.36310731883154,-21.40652423607081,61.51337272912645,5.457853462626563
1,1.0,3.312644881687519e+18,,b'1266-1286-1',1.6353784107819336e+18,3.312644881687519e+18,1256338.0,2015.0,68.24814843040737,0.25541149437469707,15.818861952443418,0.20227110211850685,21.278640508766358,0.24391702481505662,100.07945546047081,0.6713528213417836,-25.130750952252725,0.40132968079541353,-0.5021691,0.2747071,-0.70294446,0.56259763,-0.6116263,0.64975584,-0.8391707,-0.38951147,0.40209857,-0.6386907,133.0,133.0,133.0,127.0,0.0,6.0,,0.33648297311848807,72.21196410409506,True,3.411086,7.7503295,1.1616752e-05,5.0,15.0,False,0.39375332,0.60425353,0.37915486,0.123155266,-148.60806,-0.4758126,-44.787975,-27.869535,130.0,7029394.543059908,5666.963329311542,8.407475264069024,b'NOT_AVAILABLE',181.08854683602684,-21.227645131517196,68.98894649621757,-6.0478855472906305
2,2.0,3.312921374502682e+18,,b'1265-433-1',1.6353784107819336e+18,3.312921374502682e+18,1457180.0,2015.0,67.04579382965609,0.5753138537844148,16.47080629125407,0.2753541330664134,23.568003123271865,0.2415418290595466,114.21975421734585,1.8416385716951813,-31.77557207871409,1.0524431350906018,-0.86467785,0.12209416,-0.8807387,0.84456277,-0.2725382,0.8198736,-0.84360665,-0.081730805,0.14683677,-0.91988164,68.0,68.0,66.0,66.0,2.0,2.0,,0.3055425708916266,139.7249056934453,True,3.125622,8.750803,2.6935022e-05,5.0,8.0,True,0.19298477,0.70419955,0.4135973,0.40526444,-72.16268,16.92894,-28.861856,31.97929,69.0,1141620.4629471037,865.9319389855937,10.380965702148512,b'NOT_AVAILABLE',179.76661285995561,-21.723246342634546,67.94146642788569,-5.227957943544244
3,3.0,3.306303998130682e+18,,b'677-227-1',1.6353784107819336e+18,3.306303998130682e+18,1481513.0,2015.0,68.54685024676685,0.9580938723487187,11.557861899521672,0.6192892312436677,20.937591302207263,0.6286688556424763,96.16617401276241,1.946826595069924,-21.64196177436436,1.4698627806169682,-0.7022624,0.071472734,-0.8329578,0.7628994,-0.46754387,0.79256153,-0.83777326,-0.33588272,0.34178835,-0.73785526,70.0,70.0,70.0,67.0,0.0,3.0,,1.3208988492976463,697.8831061102791,True,12.841226,0.5714601,2.3346021e-05,5.0,9.0,True,0.16655363,0.3821781,0.42387474,0.54805654,-164.1032,0.31912696,-14.201395,43.090946,79.0,686475.3423735996,2549.489705984602,10.933207707954502,b'NOT_AVAILABLE',184.93895784890995,-23.58823592550977,68.64173308876991,-10.304908117936678
4,4.0,3.3099568506355195e+18,,b'1266-1175-1',1.6353784107819336e+18,3.3099568506355195e+18,525758.0,2015.0,69.02236016853156,0.2336996280143834,15.683904334049787,0.20804666911842504,19.961501991006166,0.23975417641935967,96.04761220952565,0.705230140585086,-24.18323387804221,0.4038127073233468,-0.63906467,0.43849698,-0.66642237,0.6924941,-0.7015987,0.70124656,-0.8530555,-0.36848047,0.5952226,-0.6108524,139.0,139.0,136.0,134.0,3.0,5.0,,0.3209445625911806,219.04952779913322,True,3.2674022,8.919569,2.390278e-05,5.0,16.0,False,0.42019373,0.53754103,0.37907794,0.15838525,-151.67073,-4.2529044,-51.843914,-36.491684,137.0,3815664.4570797193,9743.354485596163,9.070844622322966,b'NOT_AVAILABLE',181.69367444219853,-20.72347071545987,69.7106365208229,-6.2900089196156515
5,5.0,3.3144840897632947e+18,,b'1269-57-1',1.6353784107819336e+18,3.3144840897632947e+18,1560699.0,2015.0,66.99614693378767,0.7582852274646565,18.500111173052733,0.656192337149906,19.413927226174593,0.603680695510682,105.09703310501364,1.9450864156122203,-34.775149011238895,1.1325941845634186,0.23406614,0.78750366,-0.90759224,-0.33946112,-0.35165125,0.16212732,-0.9861544,-0.94755393,0.23030469,-0.0480193,96.0,96.0,95.0,95.0,1.0,1.0,,0.34424220306279196,152.0891964406499,True,3.4830546,7.4980206,1.9621206e-05,5.0,15.0,True,0.5397244,0.6414563,0.5566375,0.28512698,-160.33894,-11.734861,-59.01087,-15.826715,120.0,2143560.8922430133,4039.295346563592,9.69693050122238,b'NOT_AVAILABLE',178.05222770594492,-20.473358513776557,68.21144416741916,-3.216034748489539
6,6.0,3.313259165090609e+18,,b'1266-149-1',1.6353784107819336e+18,3.313259165090609e+18,512206.0,2015.0,68.40862242098031,0.2856028922800464,16.762393446108078,0.22342979469903954,20.305989940900442,0.4225335600146927,97.93762098555192,0.6465047564795908,-25.17302997571216,0.35015556393548475,0.015019714,-0.4447819,-0.471832,0.50771606,-0.81670344,0.72873974,-0.67279613,-0.4365705,0.25378627,-0.80644494,90.0,90.0,89.0,86.0,1.0,4.0,,0.3419744465830158,93.91994974332833,True,3.4620063,7.799562,2.507123e-05,5.0,11.0,True,0.48686725,0.6224833,0.6133072,0.1700106,-138.18811,5.2014165,-31.79991,-37.42615,99.0,3782304.5777659407,2690.926668992965,9.08037881793221,b'NOT_AVAILABLE',180.39832296288833,-20.521908045075055,69.28195015101197,-5.137422656588697
7,7.0,3.312602344331419e+18,,b'1266-944-1',1.6353784107819336e+18,3.312602344331419e+18,947073.0,2015.0,68.63448474418476,0.3595727070995315,15.827471827135854,0.22555844971851538,19.061457347355173,0.3331333338265883,90.29344665566236,0.9973381554520269,-20.07774672848558,0.42291650070366815,-0.6849918,0.71933645,-0.8332165,0.6680753,-0.73862815,0.7371157,-0.8727246,-0.65442675,0.6226687,-0.63319385,114.0,114.0,113.0,109.0,1.0,5.0,,0.43261992730517174,277.50926678140826,True,4.3105755,4.875993,2.2157843e-05,5.0,14.0,False,0.34214017,0.60950685,0.45989093,0.1316268,-153.47302,-9.227391,-56.814213,-22.08268,112.0,2973212.308437297,3471.494476507005,9.341705258797688,b'NOT_AVAILABLE',181.3271375581517,-20.929868745873293,69.35995260317443,-6.094004494299519
8,8.0,3.3136300784657454e+18,,b'1265-569-1',1.6353784107819336e+18,3.3136300784657454e+18,1985544.0,2015.0,66.05365557738706,0.23437989021952785,16.37883877957178,0.21512257116636951,17.693881731854272,0.2369359660192066,88.37887918460245,0.5265272111006541,-21.673894505495827,0.47072538466911906,-0.2611087,0.33774132,-0.59662634,0.34993866,-0.48816773,0.4566526,-0.81116694,-0.3351352,0.35711858,-0.4583311,101.0,101.0,99.0,98.0,2.0,3.0,,0.3387657940641701,101.9907639864673,True,1.643385,7.4363384,1.1137961e-05,5.0,16.0,False,0.2153996,0.48497918,0.2273544,0.24660486,-67.49564,-12.914046,-38.321163,-42.27481,130.0,9867523.755480427,11442.536735754069,8.039249612322749,b'NOT_AVAILABLE',179.1932083644706,-22.51818727102763,66.98335733616211,-5.167492757767803
9,9.0,3.3108767982705777e+18,,b'680-594-1',1.6353784107819336e+18,3.3108767982705777e+18,1251326.0,2015.0,66.85602698442572,0.5128661105120631,14.260583575278849,0.2629402500979304,19.62490229637907,0.38205482484793835,96.92481581751298,1.2750443541772905,-11.372873187296879,0.5187732291118895,-0.70362854,0.65001047,-0.90735686,0.67667025,-0.685781,0.75444984,-0.8472076,-0.74695265,0.5533887,-0.64459866,103.0,103.0,101.0,101.0,2.0,2.0,,0.580688238649848,377.74814352291224,True,5.7162147,2.7217684,2.4587527e-05,5.0,12.0,False,0.36710253,0.53438795,0.21954823,0.14214927,-175.67944,-7.5259843,-54.71311,35.634666,101.0,1707546.2409861446,3387.364229227977,9.943838880418983,b'NOT_AVAILABLE',181.50914446231965,-23.248550092702597,67.41118219080067,-7.382206410208159
